Symbol,Name,Sector,Price,Price/Earnings,Dividend_Yield,52w_low,52w_high,Market_Cap,EBITDA,Price/Sales,Price/Book,Book_Value
MMM,3M Company,Industrials,222.89,24.31,2.3328617,259.77,175.49,1.39E+11,9048000000,4.3902707,11.34,19.65520282
AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.1479592,68.39,48.925,10783419933,601000000,3.5754826,6.35,9.486614173
ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,64.6,42.28,1.02E+11,5744000000,3.7404804,3.19,17.63949843
ABBV,AbbVie Inc.,Health Care,108.48,19.41,2.4995599,125.86,60.05,1.81E+11,10310000000,6.291571,26.14,4.149961744
ACN,Accenture plc,Information Technology,150.51,25.47,1.7144699,162.6,114.82,98765855553,5643228000,2.604117,10.62,14.17231638
ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.43190324,74.945,38.93,52518668144,2704000000,10.59512,5.16,12.75775194
AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.35118526,225.36,142,6242377704,587800000,1.7953473,3.55,40.96056338
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0,204.45,114.451,94550214268,2538040000,13.092818,11.06,16.74141049
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.21832074,169.55,78.81,8123611867,853941000,1.1301061,2.51,43.67729084
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,0,15.65,9.7,11191663795,339000000,2.1091955,21.47,0.52258966
AES,AES Corp,Utilities,10.06,9.96,4.961832,12.05,10,6920851212,3001000000,0.65951383,2.2,4.572727273
AET,Aetna Inc,Health Care,178,18.11,1.101989,194.4,119.51,59197016353,4139000000,0.9923546,3.79,46.96569921
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.6387395,216.995,148.81,10442174371,1261400000,4.591235,2.89,61.97577855
AFL,AFLAC Inc,Financials,83.25,12.24,2.4299066,91.73,68.8,33422948000,0,1.5429344,1.53,54.41176471
A,Agilent Technologies Inc,Health Care,65.05,27.45,0.8756979,75,49.23,21984606918,1094000000,6.493563,4.56,14.26535088
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,2.7811136,175.17,133.6301,34638387128,2542500000,4.1163683,3.35,45.6119403
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0,69.56,44.65,10906904066,789517000,5.8546524,3.25,19.22769231
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,1.9928383,101.43,59.25,7903173734,1665000000,0.9801092,2.21,28.97737557
ALB,Albemarle Corp,Materials,105.18,26.03,1.2004126,144.99,90.35,11782151266,686030000,5.3666205,2.98,35.29530201
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,3.0262272,134.37,106.89,12043374429,0,10.492155,2.07,55.352657
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0,149.34,96.18,26172439795,1072000000,9.720562,2.82,38.46453901
ALGN,Align Technology,Health Care,220.71,56.59,0,287.32,92.61,18788041378,380326000,13.138819,16.44,13.42518248
ALLE,Allegion,Industrials,77.32,21.07,0.8004002,89.81,66.72,7599609494,531800000,4.265232,20.48,3.775390625
AGN,"Allergan, Plc",Health Care,164.2,10.65,1.643289,256.8,160.07,56668833898,-2888100000,4.820115,0.83,197.8313253
ADS,Alliance Data Systems,Information Technology,240.6,13.02,0.9240122,278.33,209,13632608582,2143200000,1.7282298,8.28,29.05797101
LNT,Alliant Energy Corp,Utilities,37.14,19.86,3.5733333,45.55,36.84,8670163500,1168400000,3.4331481,2.13,17.43661972
ALL,Allstate Corp,Financials,90.06,13.26,1.5278208,105.36,77.73,34759468905,0,1.2085556,1.67,53.92814371
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,0,1198,824.3,7.34E+11,34217000000,6.801692,4.7,214.406383
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,0,1186.89,803.1903,7.29E+11,32714000000,6.772653,4.67,214.4582441
MO,Altria Group Inc,Consumer Staples,64.05,18.89,3.9526875,77.79,60.01,1.27E+11,10773000000,4.945682,10.32,6.206395349
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,0,1498,812.5,6.86E+11,16132000000,3.927053,24.28,55.62191104
AEE,Ameren Corp,Utilities,52.59,20.38,3.4404964,64.89,51.81,12905744906,2298000000,2.693119,1.79,29.37988827
